Container,Size,Syntax,GCC-O2,GCC-O3,GCC-Of,ICC-O2,ICC-O3,ICC-Of,LLVM-O2,LLVM-O3,LLVM-Of
std::vector,for_index,100,113,114,113,29,30,31,111,111,121
std::vector,for_iterator,100,113,113,67,27,28,28,122,115,39
std::vector,for_each,100,146,135,78,76,78,70,134,134,137
std::vector,C++11_range,100,115,123,67,27,29,29,112,112,38
std::vector,for_index,10000,12691,12715,12707,2697,2711,2702,12706,12721,12714
std::vector,for_iterator,10000,12674,12671,6344,2664,2676,2674,12683,12674,3206
std::vector,for_each,10000,12898,12892,7267,6452,6447,6446,12888,12872,12880
std::vector,C++11_range,10000,12673,12672,6343,2651,2674,2651,12671,12676,3192
std::array,for_index,100,112,112,52,27,26,26,113,114,60
std::array,for_iterator,100,114,114,52,112,113,112,110,110,60
std::array,for_each,100,135,136,73,76,76,76,134,134,134
std::array,C++11_range,100,112,112,69,46,49,46,113,113,60
std::array,for_index,10000,12548,12548,4249,4242,4242,4243,25064,25063,12564
std::array,for_iterator,10000,12546,12545,4267,12541,12540,12541,25063,25062,12546
std::array,for_each,10000,12548,12553,4248,4243,4244,4243,25071,25064,12545
std::array,C++11_range,10000,12546,12546,4258,4260,4260,4262,25065,25065,12547
C_array,for_index,100,116,116,52,26,26,26,113,113,51
C_array,for_iterator,100,112,112,68,45,45,45,111,110,51
C_array,for_each,100,135,137,74,76,76,79,131,134,132
C_array,C++11_range,100,93,114,69,46,46,46,113,113,51
C_array,for_index,10000,12547,12545,6280,2650,2658,2650,12537,12534,12544
C_array,for_iterator,10000,12546,12542,6281,2632,2641,2621,12540,12543,3147
C_array,for_each,10000,12748,12744,7203,6369,6374,6369,12744,12745,12743
C_array,C++11_range,10000,12542,12541,6271,2633,2641,2622,12541,12541,3135
std::set,for_iterator,100,673,673,685,675,684,690,787,698,650
std::set,for_each,100,719,718,726,671,685,684,703,800,705
std::set,C++11_range,100,678,694,673,679,678,681,655,658,790
std::set,for_iterator,10000,96001,96789,97145,96986,100859,95860,101691,97993,97400
std::set,for_each,10000,97441,98536,98637,96424,95830,96005,108542,103273,98422
std::set,C++11_range,10000,96125,96545,96640,96582,106669,106233,97834,110310,101765
std::list,for_iterator,100,182,181,182,181,181,181,182,179,182
std::list,for_each,100,187,180,182,184,188,181,180,181,185
std::list,C++11_range,100,181,181,181,183,180,180,183,182,179
std::list,for_iterator,10000,23750,23617,23624,23657,23762,23687,23689,23842,23577
std::list,for_each,10000,23760,23627,23643,23650,23765,23733,33725,34126,33301
std::list,C++11_range,10000,23743,23618,23625,23686,23746,23722,23683,23842,23554
