Container,Algorithm,Version,GCC-O2(ms),GCC-O3(ms),GCC-Of(ms),ICC-O2(ms),ICC-O3(ms),ICC-Of(ms)
std::vector,Sort,serial,1209868,1175386,1205179,1212097,1212037,1211944
std::vector,Sort,parallel,137197,125083,84069,213120,108544,145968
std::vector,Merge,serial,304905,304948,305604,351895,353117,352314
std::vector,Merge,parallel,301180,304783,303941,320889,320240,319450
std::vector,For_each,serial,13025,15632,12916,11509,11551,11872
std::vector,For_each,parallel,27137,29700,12080,23936,21938,25457
std::vector,Accumulate,serial,12861,15333,12254,9999,10018,9859
std::vector,Accumulate,parallel,10752,9561,3750,9594,3827,12764
std::vector,Partial_sum,serial,13805,16862,17078,16687,17096,16858
std::vector,Partial_sum,parallel,17704,18855,11228,24911,10144,20147
std::vector,Min_element,serial,13225,15979,16017,21131,21056,21171
std::vector,Min_element,parallel,5544,5657,5387,12267,11788,11754
std::vector,Copy,serial,107653,111728,112021,112471,113320,112134
std::vector,Copy,parallel,154455,159478,159983,164212,165076,161656
std::vector,Transform,serial,35954,32581,32648,40131,39964,34165
std::vector,Transform,parallel,22057,21817,27006,22944,21688,22294
std::vector,Partition,serial,34577,33889,34247,41057,42055,40967
std::vector,Partition,parallel,13662,15345,13330,18425,16714,17196
std::vector,Find_if,serial,0,0,0,0,1,0
std::vector,Find_if,parallel,1,1,1,2,12,11
std::array,Sort,serial,1171642,1153898,1171350,1185180,1198452,1198224
std::array,Sort,parallel,64363,67372,90417,174988,110755,143147
std::array,Merge,serial,167337,150195,149628,189115,193480,188662
std::array,Merge,parallel,29209,28893,30340,28630,32730,27587
std::array,For_each,serial,15384,13727,9994,9277,9254,9360
std::array,For_each,parallel,14646,18665,13416,23170,21326,21021
std::array,Accumulate,serial,14983,13541,9596,8906,8604,8835
std::array,Accumulate,parallel,3798,5921,3868,3835,4017,10075
std::array,Partial_sum,serial,18318,15351,15280,15352,15431,15288
std::array,Partial_sum,parallel,11220,12083,12754,13765,12229,11542
std::array,Min_element,serial,15896,13229,13229,13901,22893,13797
std::array,Min_element,parallel,7822,12792,5704,12230,5086,5152
std::array,Copy,serial,26740,21611,21554,23763,23570,23731
std::array,Copy,parallel,15820,20075,20168,31592,19508,19573
std::array,Transform,serial,19729,14138,14039,16277,23199,15960
std::array,Transform,parallel,8051,8203,8991,11765,8165,8237
std::array,Partition,serial,15705,11603,11775,14259,14304,14207
std::array,Partition,parallel,7315,6549,6612,12825,6390,6594
std::array,Find_if,serial,0,0,0,0,0,0
std::array,Find_if,parallel,1,1,1,6,7,8
std::list,Merge,serial,1629449,1613278,1617723,1597515,1620717,1620114
std::list,Merge,parallel,787054,787318,787356,827771,786026,785922
std::list,For_each,serial,39586,39599,41247,41798,42413,41284
std::list,For_each,parallel,38845,38896,40685,41330,42049,40745
std::list,Accumulate,serial,39049,38953,40727,41108,41833,40680
std::list,Accumulate,parallel,38914,38886,40688,41095,41730,40675
std::list,Partial_sum,serial,50737,50777,51930,51222,51776,50873
std::list,Partial_sum,parallel,51500,51508,52563,51965,52522,51577
std::list,Min_element,serial,39941,39944,41561,42200,42818,41752
std::list,Min_element,parallel,38877,38887,40708,41476,42087,40918
std::list,Copy,serial,561789,555686,560333,559696,570879,570851
std::list,Copy,parallel,1106853,1118819,1121546,1119802,1140277,1139924
std::list,Transform,serial,152438,155967,156101,157488,156291,156477
std::list,Transform,parallel,102271,103525,104657,104243,104792,103634
std::list,Partition,serial,130047,131503,133598,128742,129796,126879
std::list,Partition,parallel,85650,86451,88263,84949,85861,83360
std::list,Find_if,serial,0,0,0,1,0,1
std::list,Find_if,parallel,0,0,0,0,0,0
std::set,For_each,serial,1385395,1386877,1423698,1385793,1427564,1387046
std::set,For_each,parallel,1384583,1386940,1423746,1384831,1426112,1385944
std::set,Accumulate,serial,1381760,1385070,1424250,1382869,1423481,1384474
std::set,Accumulate,parallel,1384739,1386506,1423845,1438449,1429071,1387157
std::set,Min_element,serial,1383115,1385009,1424453,1384061,1424261,1384444
std::set,Min_element,parallel,1384767,1385971,1423353,1383729,1424961,1384007
std::unordered_set,For_each,serial,866765,866336,890668,866047,893005,867115
std::unordered_set,For_each,parallel,861473,860210,883120,860602,885924,861022
std::unordered_set,Accumulate,serial,866267,865573,890101,865599,892366,866702
std::unordered_set,Accumulate,parallel,861323,860314,883187,860328,885933,860819
std::unordered_set,Min_element,serial,866331,865522,890146,870416,897486,871651
std::unordered_set,Min_element,parallel,861377,860216,883307,861170,886702,861561
